RESPID;interview_end;gender;age;age_coded;DK_region;Agenda;b1 - Hvilket problem mener du er det vigtigste, som Danmark står overfor lige nu?;b2a - Hvilken regering er bedst til at sikre en fornuftig flygtninge/indvandrerpolitik?;b2b - Hvilken regering er bedst til at varetage økonomien, eksempelvis vækst og arbejdspladser?;b2c - Hvilken regering er bedst til at levere velfærden, eksempelvis sundhed, uddannelse og ældrepleje?;bg5 - Hvilket parti stemte du på, ved Folketingsvalget den 15. september 2011?;bg6 - Hvilket parti ville du stemme på, hvis der var Folketingsvalg i morgen?;bg7 - Hvilket parti hælder du mest til at stemme på?;bg8 - Hvad er din højest afsluttede uddannelse?;bg9 - Hvor mange børn under 18 år er der din husstand?;bg10 - Hvad er husstandens samlede årlige bruttoindkomst?;PI_idag_prob - Stemme i morgen (bg6+bg7);Weight;redprediction;blueprediction;swingprediction;latedecprediction
27;20150316;Kvinde;20;18-29 år;Syddanmark;1302;Social og menneskelig ulighed samt klimaproblemer.;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(Ø) Enhedslisten;;Erhvervsfaglig, EFG, HTX eller lignende;3 børn;700.000-799.999 kr.;Enhedslisten;1,6397742987;0.125531439135381;0.49886801774064;0.440501696134774;0.419767817530691
28;20150312;Mand;27;18-29 år;Midtjylland;2099;Ministerpensionen;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;100.000-199.999 kr.;Socialdemokraterne;1,4341977391;0.230609595658463;0.336120010396824;0.437424968494648;0.397055339309856
32;20150316;Kvinde;19;18-29 år;Syddanmark;1227;terror;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;Havde ikke stemmeret;(B) Radikale Venstre;;Grundskole;1 barn;200.000-299.999 kr.;Radikale Venstre;3,0067845221;0.286214068207819;0.243994166997585;0.427542074933857;0.394847220109781
35;20150312;Mand;38;30-39 år;Sjælland;.;ved ikke;Ved ikke;Venstre ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(Ø) Enhedslisten;;Grundskole;Ingen;100.000-199.999 kr.;Enhedslisten;2,0100957488;0.400255314033415;0.198165132503184;0.423442170602377;0.526827675807613
36;20150312;Mand;19;18-29 år;Midtjylland;600;Universiteternes fokus på karakterer - de brokker sig over de får for mange elever der bare vil have gode karakterer og kun vide hvad de kan komme op i til eksamen.;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Havde ikke stemmeret;(F) Socialistisk Folkeparti - SF;;Grundskole;2 børn;Ved ikke;Socialistisk Folkeparti - SF;2,7434731381;0.0854399986307057;0.578882080090718;0.422165824639376;0.313604688640441
37;20150312;Mand;19;18-29 år;Syddanmark;600;Forringelser af uddannelsessystemet fra start til slut.;Socialdemokratisk ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;Havde ikke stemmeret;(I) Liberal Alliance;;Grundskole;1 barn;Vil ikke oplyse;Liberal Alliance (tidligere Ny Alliance);2,3196363798;0.0854399986307057;0.578882080090718;0.422165824639376;0.69369724452307
38;20150312;Mand;39;30-39 år;Nordjylland;1000;transport & bolig-udgifter;Venstre ledet regering;Ved ikke;Venstre ledet regering;(K) Kristendemokraterne;(K) Kristendemokraterne;;Grundskole;Ingen;100.000-199.999 kr.;Kristendemokraterne;1,9648188679;0.410142488412259;0.195406033715516;0.418268781767292;0.278617420982957
48;20150313;Kvinde;18;18-29 år;Syddanmark;705;Klimaforandringer;Socialdemokratisk ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;Havde ikke stemmeret;(F) Socialistisk Folkeparti - SF;;Grundskole;Ingen;Ved ikke;Socialistisk Folkeparti - SF;3,0067845221;0.114185861903969;0.501483280536609;0.416249580258369;0.222811577260266
51;20150312;Kvinde;18;18-29 år;Midtjylland;700;milijø;Socialdemokratisk ledet regering;Ved ikke;Socialdemokratisk ledet regering;Havde ikke stemmeret;(A) Socialdemokraterne;;Grundskole;1 barn;Ved ikke;Socialdemokraterne;2,2105715159;0.114185861903969;0.501483280536609;0.416249580258369;0.327191746309343
54;20150315;Kvinde;18;18-29 år;Hovedstaden;.;Ved ikke;Socialdemokratisk ledet regering;Ved ikke;Ved ikke;Havde ikke stemmeret;Ved ikke;Ved ikke;Grundskole;Ingen;Ved ikke;;2,6303935448;0.114185861903969;0.501483280536609;0.416249580258369;0.398243044450438
55;20150313;Kvinde;18;18-29 år;Midtjylland;900;integration;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;Havde ikke stemmeret;Ved ikke;(O) Dansk Folkeparti;Grundskole;Ingen;Vil ikke oplyse;Dansk Folkeparti;2,0437648978;0.114185861903969;0.501483280536609;0.416249580258369;0.265260548062455
56;20150316;Mand;20;18-29 år;Syddanmark;2400;Mangel på forståelse;Ved ikke;Ved ikke;Ved ikke;Stemte ikke;Vil ikke stemme;Vil ikke svare;Grundskole;Ingen;Ved ikke;;1,4764863336;0.0939375754353169;0.564100808379475;0.413559348069931;0.364284715637684
58;20150312;Kvinde;38;30-39 år;Syddanmark;1399;de ældre og syge og svage;Venstre ledet regering;Ved ikke;Ved ikke;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;Ingen;100.000-199.999 kr.;Dansk Folkeparti;1,5839437287;0.506254934234429;0.145209732535065;0.408762089538108;0.406222496883403
64;20150312;Mand;30;30-39 år;Hovedstaden;709;Natur bevarelse;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;(Ø) Enhedslisten;;Grundskole;Ingen;Under 100.000 kr.;Enhedslisten;1,9428180265;0.218279643970224;0.362065919120483;0.407772590366039;0.316311851429866
65;20150316;Kvinde;28;18-29 år;Hovedstaden;1300;penge til velfærd nu og i fremtiden;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;Stemte ikke;(O) Dansk Folkeparti;;Grundskole;Ingen;Under 100.000 kr.;Dansk Folkeparti;2,4693594294;0.270621105345061;0.296616210022673;0.406850595606606;0.218218233388523
67;20150312;Kvinde;21;18-29 år;Midtjylland;300;fedme;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;Under 100.000 kr.;Dansk Folkeparti;1,6024618801;0.150056023247126;0.464098508311014;0.405880581791043;0.319334375926384
68;20150312;Mand;23;18-29 år;Hovedstaden;601;Fremdriftreformen der giver store problemer for universiteterne og de studerende.;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;(F) Socialistisk Folkeparti - SF;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;Under 100.000 kr.;Socialistisk Folkeparti - SF;2,5990229305;0.12218556552357;0.530358892602719;0.404287248875431;0.420807405463457
69;20150312;Mand;42;40-49 år;Sjælland;900;indvandre;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;Vil ikke svare;Vil ikke svare;;Grundskole;Ingen;100.000-199.999 kr.;;2,0070057859;0.435305756734327;0.189374944581844;0.403936224873107;0.307755627817983
72;20150312;Mand;20;18-29 år;Syddanmark;100;Økonomi og kulturforskelle;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;1 barn;500.000-599.999 kr.;Venstre;1,8375104150;0.0989977548321357;0.592369573522593;0.401257070243854;0.417660028253923
76;20150312;Kvinde;20;18-29 år;Sjælland;900;Indvandrepolitik;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(V) Venstre;Ved ikke;(V) Venstre;Grundskole;1 barn;Ved ikke;Venstre;3,0067845221;0.137399931843524;0.470770106665707;0.398984790580663;0.563346857850356
82;20150313;Kvinde;20;18-29 år;Midtjylland;.;Jeg følger ikke med i politik.;Ved ikke;Ved ikke;Ved ikke;Havde ikke stemmeret;Stemme blankt;Vil ikke svare;Grundskole;Ingen;Vil ikke oplyse;;1,8782351505;0.137399931843524;0.470770106665707;0.398984790580663;0.474314688677771
89;20150312;Mand;22;18-29 år;Syddanmark;103;Arbejdsløshed;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(A) Socialdemokraterne;;Kort videregående 1-2 år;Ingen;100.000-199.999 kr.;Socialdemokraterne;0,5031264692;0.18175241161715;0.42429375727922;0.394838369614758;0.512301108064831
93;20150315;Kvinde;41;40-49 år;Midtjylland;900;Flygtninge;Ved ikke;Ved ikke;Ved ikke;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;Ingen;100.000-199.999 kr.;Dansk Folkeparti;1,2165447320;0.534477428671732;0.139641526132811;0.394000553723612;0.632401556316077
95;20150317;Mand;28;18-29 år;Syddanmark;.;?;Venstre ledet regering;Ved ikke;Ved ikke;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;700.000-799.999 kr.;Dansk Folkeparti;1,2109823927;0.160181030631712;0.492184275206859;0.392949436169471;0.339221138092297
99;20150316;Mand;29;18-29 år;Syddanmark;900;Udlændige;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;1 barn;700.000-799.999 kr.;Dansk Folkeparti;1,2109823927;0.170422976474036;0.482181389503864;0.386130418558074;0.579157680908909
103;20150315;Mand;47;40-49 år;Hovedstaden;900;Den ulovlige indvandring af kriminelle udlændinge;Ved ikke;Ved ikke;Ved ikke;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;Ingen;100.000-199.999 kr.;Dansk Folkeparti;1,2162669436;0.461381302638439;0.186394789240523;0.383937935302528;0.337216788700137
109;20150312;Mand;47;40-49 år;Syddanmark;2400;respekt for de svageste;Ved ikke;Ved ikke;Ved ikke;(Ø) Enhedslisten;Stemme blankt;Ved ikke;Grundskole;Ingen;100.000-199.999 kr.;;0,8448842224;0.461381302638439;0.186394789240523;0.383937935302528;0.38531667171164
112;20150312;Mand;32;30-39 år;Sjælland;507;folk med arbejdsløshed og der på vej ud af dagpenge;Venstre ledet regering;Venstre ledet regering;Ved ikke;(V) Venstre;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;400.000-499.999 kr.;Dansk Folkeparti;1,4066290623;0.252535944926189;0.364461187358238;0.383754401736916;0.507250517875617
120;20150312;Kvinde;18;18-29 år;Hovedstaden;900;Integration;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;Havde ikke stemmeret;(B) Radikale Venstre;;Grundskole;1 barn;1.000.000 kr. eller derover;Radikale Venstre;3,0067845221;0.0682076137371986;0.640293618004146;0.382956154368831;0.363104115200825
122;20150313;Kvinde;33;30-39 år;Midtjylland;103;arbejdsløshed;Venstre ledet regering;Socialdemokratisk ledet regering;Ved ikke;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;100.000-199.999 kr.;Dansk Folkeparti;1,3598578591;0.410994358258386;0.218331098144971;0.382866903386565;0.342815051011295
126;20150312;Kvinde;22;18-29 år;Midtjylland;2099;Politikerne;Ved ikke;Ved ikke;Ved ikke;(A) Socialdemokraterne;Ved ikke;Ved ikke;Grundskole;Ingen;Vil ikke oplyse;;2,1770452636;0.162639230457431;0.442503956885261;0.382671315898095;0.275824115513695
128;20150316;Kvinde;44;40-49 år;Syddanmark;1300;Velfærd;Ved ikke;Ved ikke;Socialdemokratisk ledet regering;Stemte blankt;Ved ikke;(O) Dansk Folkeparti;Grundskole;Ingen;100.000-199.999 kr.;Dansk Folkeparti;1,1110422505;0.555108962368979;0.136633244611567;0.381010165641845;0.341967633058712
129;20150312;Mand;33;30-39 år;Hovedstaden;507;Gevinsten ved at arbejde er for lille.;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(B) Radikale Venstre;Stemme blankt;(C) Konservative Folkeparti;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;400.000-499.999 kr.;Konservative Folkeparti;2,2647124155;0.264215334105427;0.357309924035964;0.377696078633968;0.375693252456537
133;20150313;Mand;23;18-29 år;Midtjylland;100;Økonomiske;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(B) Radikale Venstre;(B) Radikale Venstre;;Gymnasie, HF eller lignende;Ingen;100.000-199.999 kr.;Radikale Venstre;2,4304869751;0.303924304781975;0.304871983463484;0.373050008577632;0.366153457026839
141;20150312;Mand;82;70++ år;Syddanmark;900;Det store flygtningeproblem;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Grundskole;Ingen;100.000-199.999 kr.;Venstre;1,4915651660;0.149020154859848;0.492621599101894;0.368709119041534;0.239014015701676
144;20150315;Mand;52;50-59 år;Midtjylland;900;indvandrer;Ved ikke;Ved ikke;Ved ikke;Stemte blankt;Stemme blankt;(F) Socialistisk Folkeparti - SF;Grundskole;Ingen;100.000-199.999 kr.;Socialistisk Folkeparti - SF;1,7294405713;0.466950547241502;0.192059648591809;0.368649121732535;0.288130915454118
156;20150313;Mand;43;40-49 år;Hovedstaden;.;??????????????????????++;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(B) Radikale Venstre;(V) Venstre;;Grundskole;1 barn;700.000-799.999 kr.;Venstre;1,8455292402;0.318194530105914;0.316298617791825;0.363263695113637;0.405298253181132
167;20150314;Mand;79;70++ år;Nordjylland;103;Arbejdsløshed;Ved ikke;Ved ikke;Ved ikke;(A) Socialdemokraterne;(O) Dansk Folkeparti;;Grundskole;Ingen;100.000-199.999 kr.;Dansk Folkeparti;1,1088391794;0.190501114562434;0.434947393195728;0.361707825985894;0.65175923379882
169;20150312;Mand;55;50-59 år;Hovedstaden;900;flygtning;Venstre ledet regering;Ved ikke;Socialdemokratisk ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;Ingen;100.000-199.999 kr.;Dansk Folkeparti;1,2880626403;0.46037712578941;0.199818848557076;0.361660217090818;0.227922336541335
170;20150312;Mand;36;30-39 år;Syddanmark;1300;opretholdelse af vældfærden;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(C) Konservative Folkeparti;Ved ikke;(V) Venstre;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;400.000-499.999 kr.;Venstre;1,5593211622;0.297082651152184;0.339274903735305;0.360785566894112;0.266099030109249
178;20150312;Mand;56;50-59 år;Nordjylland;103;ledighed;Venstre ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(V) Venstre;(O) Dansk Folkeparti;;Grundskole;Ingen;100.000-199.999 kr.;Dansk Folkeparti;1,0982577711;0.456539802342317;0.203187224085455;0.359686483076469;0.389716500605267
183;20150312;Mand;56;50-59 år;Syddanmark;.;???;Ved ikke;Ved ikke;Ved ikke;(Ø) Enhedslisten;Ved ikke;(O) Dansk Folkeparti;Grundskole;Ingen;100.000-199.999 kr.;Dansk Folkeparti;0,9736136376;0.456539802342317;0.203187224085455;0.359686483076469;0.672695282815878
191;20150312;Kvinde;23;18-29 år;Midtjylland;1806;international konkurrence i virksomheder;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(C) Konservative Folkeparti;(B) Radikale Venstre;;Gymnasie, HF eller lignende;Ingen;100.000-199.999 kr.;Radikale Venstre;2,9372815057;0.40149079845447;0.231639085023077;0.359029057654647;0.522909655100875
202;20150312;Mand;49;40-49 år;Midtjylland;1300;velfærd;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;2 børn;400.000-499.999 kr.;Dansk Folkeparti;1,0066437538;0.408359017448236;0.240100549612501;0.358120793224828;0.260084854628122
207;20150314;Mand;41;40-49 år;Midtjylland;900;Indvandre;Socialdemokratisk ledet regering;Ved ikke;Ved ikke;(A) Socialdemokraterne;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;100.000-199.999 kr.;Dansk Folkeparti;0,7892825142;0.39622739422309;0.255918348596121;0.35532438350131;0.378104495400354
208;20150313;Kvinde;82;70++ år;Sjælland;.;Ved ikke;Ved ikke;Ved ikke;Ved ikke;Stemte ikke;(O) Dansk Folkeparti;;Grundskole;Ingen;100.000-199.999 kr.;Dansk Folkeparti;1,6260675618;0.212004575677384;0.400257872408999;0.354759000198621;0.292327027195352
217;20150316;Mand;73;70++ år;Nordjylland;506;Få de unde på arbejde;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Grundskole;Ingen;100.000-199.999 kr.;Socialdemokraterne;1,1993394146;0.279818199455634;0.339600390656148;0.352459851226092;0.202694773574634
218;20150312;Mand;70;70++ år;Midtjylland;103;arbejds løsse indvandre;Venstre ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;Ingen;100.000-199.999 kr.;Dansk Folkeparti;1,0763357858;0.323109261826772;0.302318988299732;0.350161783451797;0.32877516934698
223;20150316;Mand;70;70++ år;Sjælland;900;flykning;Ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Grundskole;Ingen;100.000-199.999 kr.;Socialdemokraterne;1,4553247119;0.323109261826772;0.302318988299732;0.350161783451797;0.387484836871741
227;20150315;Kvinde;80;70++ år;Syddanmark;900;indvandring økomomi;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;Ingen;100.000-199.999 kr.;Dansk Folkeparti;1,1879621575;0.247399707732133;0.363215633552003;0.349994352743938;0.608986588457704
231;20150312;Mand;69;60-69 år;Hovedstaden;103;Arbejdsløshed;Socialdemokratisk ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(Ø) Enhedslisten;;Grundskole;Ingen;100.000-199.999 kr.;Enhedslisten;0,8359570590;0.336808466359112;0.291351210576417;0.349736105273781;0.349120693958247
234;20150316;Mand;65;60-69 år;Midtjylland;709;Affald i naturen;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Grundskole;Ingen;100.000-199.999 kr.;Socialdemokraterne;0,6678981827;0.386299524211611;0.254177879247515;0.349728289001478;0.397179002347098
237;20150314;Mand;66;60-69 år;Sjælland;.;det ved jeg ikke;Ved ikke;Ved ikke;Ved ikke;Husker ikke;Ved ikke;Ved ikke;Grundskole;Ingen;100.000-199.999 kr.;;0,8222644804;0.374824571763564;0.262515546776128;0.349476125014689;0.352720296156824
238;20150313;Mand;66;60-69 år;Nordjylland;100;økonomi;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Grundskole;Ingen;100.000-199.999 kr.;Socialdemokraterne;0,6880673531;0.374824571763564;0.262515546776128;0.349476125014689;0.666585801597918
239;20150312;Mand;31;30-39 år;Sjælland;103;arbejdsløshed;Venstre ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(Ø) Enhedslisten;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;Under 100.000 kr.;Enhedslisten;1,5760627821;0.207833962013191;0.443781700382035;0.348421939393974;0.227922336541335
243;20150313;Kvinde;27;18-29 år;Syddanmark;.;Ved ikke;Ved ikke;Ved ikke;Ved ikke;Stemte ikke;Vil ikke stemme;Vil ikke svare;Grundskole;Ingen;Vil ikke oplyse;;1,7843567694;0.231292729542174;0.383110120844511;0.346036525606368;0.474198695692565
247;20150312;Mand;48;40-49 år;Syddanmark;505;løn dompimg;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(B) Radikale Venstre;(A) Socialdemokraterne;;Grundskole;1 barn;700.000-799.999 kr.;Socialdemokraterne;0,9943798439;0.337771536059982;0.314519381684435;0.344957827450686;0.531713542770859
248;20150316;Mand;22;18-29 år;Nordjylland;900;indvandrer;Ved ikke;Ved ikke;Ved ikke;Stemte ikke;Vil ikke stemme;Ved ikke;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;Ved ikke;;1,3058813624;0.099924939982578;0.627141263264513;0.344475086005561;0.473780824610832
264;20150313;Kvinde;77;70++ år;Midtjylland;100;Styr på Økonomien.     Styr på religion.;Ved ikke;Venstre ledet regering;Venstre ledet regering;(B) Radikale Venstre;(V) Venstre;;Grundskole;Ingen;100.000-199.999 kr.;Venstre;1,9737491975;0.302185136198533;0.314306401854626;0.344163579406015;0.418061774865377
266;20150313;Kvinde;76;70++ år;Midtjylland;506;Ungdomsarbejdsløshed;Ved ikke;Ved ikke;Socialdemokratisk ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;Ingen;100.000-199.999 kr.;Dansk Folkeparti;1,3007689805;0.320453795246019;0.299763981043169;0.342565787394216;0.239145594820684
267;20150313;Kvinde;76;70++ år;Nordjylland;1302;at der bliver større forskel mellem rigdom og fattigdom i Danmark;Socialdemokratisk ledet regering;Ved ikke;Ved ikke;(Ø) Enhedslisten;Alternativet;;Grundskole;Ingen;100.000-199.999 kr.;Alternativet;1,7680884053;0.320453795246019;0.299763981043169;0.342565787394216;0.321316266776272
268;20150313;Kvinde;34;30-39 år;Hovedstaden;103;Arbejdsløshed;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;700.000-799.999 kr.;Socialdemokraterne;1,7771351073;0.303264557520517;0.351488889655928;0.341585025431554;0.311724543150765
272;20150313;Mand;28;18-29 år;Syddanmark;505;Løndumping;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;500.000-599.999 kr.;Socialdemokraterne;1,3098197448;0.183200906387554;0.493039763468391;0.341534935480922;0.430079391442827
274;20150314;Mand;33;30-39 år;Syddanmark;500;Manglende modernisering af arbejdsmarkedet.;Ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(F) Socialistisk Folkeparti - SF;;Grundskole;Ingen;200.000-299.999 kr.;Socialistisk Folkeparti - SF;2,1262232483;0.453263879763098;0.198512209700439;0.340963514187096;0.317726531617715
277;20150313;Mand;56;50-59 år;Midtjylland;100;nedskøringerne;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Grundskole;Ingen;400.000-499.999 kr.;Socialdemokraterne;1,1530737265;0.399109974724913;0.258648008496563;0.340943362692898;0.342419632950853
